obs_index	inference_time_sec	image_proc_time_sec
0	1.116996	0.029108
1	0.389577	0.013942
2	0.520781	0.027241
3	0.396879	0.012191
4	0.418541	0.016132
5	0.472214	0.023578
6	0.328523	0.013938
7	0.420407	0.016892
8	0.347901	0.013927
9	0.378063	0.019085
10	0.385836	0.016378
11	0.323198	0.012902
12	0.406288	0.027286
13	0.397393	0.015986
14	0.369602	0.013683
15	0.382573	0.018915
16	0.407184	0.012106
17	0.328188	0.014763
18	0.392944	0.015359
19	0.368252	0.013284
20	0.422308	0.011204
21	0.348163	0.017416
22	0.386027	0.011291
23	0.585805	0.018259
24	0.349276	0.013735
25	0.333884	0.011406
26	0.380772	0.01268
27	0.350349	0.010547
28	0.399384	0.011144
29	0.322522	0.014678
30	0.342808	0.011662
31	0.329495	0.012484
32	0.357149	0.019153
33	0.3585	0.014097
34	0.359402	0.013185
35	0.339656	0.015603
36	0.374817	0.015417
37	0.43769	0.019267
38	0.357045	0.021099
39	0.503144	0.018501
40	0.465739	0.021048
41	0.447242	0.023609
42	0.464541	0.013886
43	0.361256	0.012598
44	0.335047	0.011086
45	0.374808	0.014548
46	0.424075	0.015305
47	0.374933	0.013845
48	0.351895	0.010596
49	0.363349	0.016166
50	0.307434	0.010323
51	0.386668	0.014408
52	0.431325	0.020865
53	0.479637	0.017056
54	0.558871	0.027658
55	0.389826	0.017162
56	0.364597	0.017259
57	0.396192	0.026632
58	0.390266	0.024071
59	0.550444	0.027717
60	0.530505	0.019376
61	0.365988	0.018608
62	0.366367	0.015416
63	0.395015	0.013926
64	0.329789	0.016722
65	0.334989	0.013594
66	0.351064	0.013526
67	0.303291	0.013223
68	0.384162	0.015872
69	0.338398	0.011264
70	0.400454	0.015113
71	0.38854	0.013819
72	0.319087	0.011739
73	0.291272	0.010186
74	0.341886	0.009458
75	0.346226	0.010742
76	0.361728	0.016628
77	0.401067	0.012856
78	0.362512	0.016417
79	0.316299	0.012775
80	0.343129	0.008999
81	0.44487	0.013095
82	0.432203	0.016459
83	0.329454	0.012849
84	0.302778	0.009358
