obs_index	inference_time_sec	image_proc_time_sec
0	1.06924	0.02118
1	0.347139	0.014136
2	0.491232	0.01517
3	0.414194	0.012553
4	0.364403	0.016954
5	0.407304	0.018195
6	0.324779	0.012933
7	0.3484	0.018983
8	0.555009	0.022891
9	0.427682	0.012524
10	0.385113	0.009556
11	0.309964	0.014955
12	0.357501	0.015322
13	0.392089	0.010071
14	0.359685	0.012498
15	0.349839	0.015551
16	0.321553	0.011904
17	0.434802	0.011129
18	0.319816	0.01042
19	0.343307	0.014979
20	0.994745	0.015901
21	0.342365	0.022782
22	0.283476	0.01018
23	0.468839	0.009927
24	0.497062	0.071104
25	0.539489	0.010968
26	0.493098	0.017311
27	0.50368	0.014469
28	0.434441	0.011312
29	0.307099	0.014866
30	0.478858	0.025751
31	0.313409	0.015312
32	0.390727	0.017233
33	0.361554	0.016094
34	0.427584	0.009885
35	0.697013	0.023921
36	1.584075	0.061578
37	1.01723	0.036874
38	1.143209	0.027211
39	1.496574	0.032152
40	1.857761	0.030957
41	0.817305	0.027674
42	1.086982	0.026197
43	1.508645	0.043762
44	1.112776	0.028311
45	0.715123	0.02235
46	1.04017	0.023826
47	0.791343	0.020941
48	0.928075	0.06599
49	0.735738	0.024363
50	0.46505	0.01337
51	0.504873	0.019483
52	0.692333	0.027834
53	0.602097	0.025463
54	0.572723	0.021337
55	0.64767	0.015965
56	0.439682	0.011028
57	0.772511	0.017586
58	0.448693	0.02118
59	0.42522	0.01751
60	0.476066	0.014063
61	0.386831	0.017166
62	0.342755	0.018617
63	0.453277	0.015901
64	0.347076	0.010782
65	0.540155	0.014891
66	0.355558	0.013947
67	0.414747	0.019537
68	0.384791	0.020254
69	0.416695	0.019418
70	0.382296	0.015162
71	0.363591	0.016134
72	0.343612	0.012706
73	0.421958	0.018136
74	0.427697	0.016726
75	0.402019	0.01604
76	0.398925	0.011112
77	0.398283	0.019792
78	0.382749	0.011548
79	0.359707	0.017653
80	0.417257	0.01665
81	0.39827	0.010879
82	0.376489	0.010955
83	0.444562	0.01115
84	0.383371	0.011598
85	0.368701	0.015649
86	0.497512	0.019789
87	0.396764	0.015044
88	0.394114	0.012376
89	0.382722	0.011916
90	0.339513	0.010667
91	0.416252	0.018336
92	0.386238	0.017948
93	0.353175	0.014628
94	0.432179	0.011711
95	0.429801	0.012506
96	0.369667	0.012801
97	0.374374	0.013223
98	0.432732	0.018776
99	0.383688	0.015826
100	0.397085	0.013281
101	0.39997	0.010527
102	0.335	0.012573
103	0.420546	0.017331
104	0.384783	0.011207
105	0.567522	0.016923
106	0.569216	0.022933
107	0.508156	0.014536
108	0.482165	0.015265
109	0.591501	0.019414
110	0.647888	0.024289
111	0.559142	0.017284
112	0.511843	0.019821
113	0.445187	0.016439
114	0.465632	0.027314
115	0.462713	0.016616
116	0.535764	0.015571
117	0.522565	0.02212
118	0.637646	0.014912
119	0.433115	0.018722
120	0.532083	0.015369
121	0.440327	0.03014
122	0.563881	0.017725
123	0.493441	0.017243
124	0.536155	0.024702
125	0.6307	0.01903
126	0.491023	0.021413
127	0.631524	0.022249
128	0.526193	0.020787
129	0.433695	0.015857
130	0.517712	0.021043
131	0.495925	0.022614
132	0.453582	0.018688
133	0.385458	0.018049
134	0.340835	0.024963
135	0.39577	0.014058
136	0.433524	0.013479
137	0.383045	0.013438
138	0.448217	0.024216
139	0.360138	0.024022
140	0.346133	0.015537
141	0.397103	0.018628
142	0.391289	0.016667
143	0.374283	0.01825
144	0.344662	0.015526
145	0.39027	0.017509
146	0.400449	0.017589
147	0.469188	0.013263
148	0.507493	0.016014
149	0.418439	0.019916
150	0.374867	0.013315
151	0.383312	0.01139
152	0.432289	0.018797
153	0.38384	0.016141
154	0.40897	0.027346
155	0.407802	0.021878
156	0.42158	0.014189
157	0.368576	0.013312
158	0.359875	0.016511
159	0.382386	0.014836
160	0.359526	0.015047
161	0.403318	0.01542
162	0.450582	0.015748
163	0.405616	0.016637
164	0.375945	0.01309
165	0.379399	0.018315
166	0.478311	0.015404
167	0.342063	0.013541
168	0.523753	0.017497
169	0.37192	0.018926
170	0.377787	0.019164
171	0.416761	0.015247
172	0.365292	0.01038
173	0.382549	0.018482
174	0.385372	0.017676
175	0.372678	0.01707
176	0.374749	0.016871
177	0.332583	0.010246
178	0.312572	0.012967
179	0.430964	0.017685
180	0.409146	0.018085
181	0.422896	0.014534
182	0.387745	0.015389
183	0.374007	0.014538
184	0.356362	0.011116
185	0.413071	0.015466
186	0.310344	0.010425
187	0.380593	0.01723
188	0.363207	0.011227
189	0.424057	0.011828
190	0.361696	0.012455
191	0.401182	0.015361
192	0.398177	0.01386
193	0.294676	0.009869
194	0.386827	0.015991
195	0.384451	0.013014
196	0.370179	0.014004
197	0.386775	0.011324
198	0.3743	0.010652
199	0.412845	0.016015
200	0.342181	0.011124
201	0.309161	0.01543
202	0.380008	0.014509
203	0.401867	0.014993
204	0.378463	0.015931
205	0.374278	0.018015
206	0.41399	0.0114
207	0.316579	0.010519
208	0.355612	0.011502
209	0.418049	0.012884
210	0.46473	0.012364
211	0.36931	0.010032
212	0.353406	0.016893
213	0.341233	0.012859
214	0.389631	0.013054
215	0.435315	0.016896
216	0.31912	0.011153
217	0.401778	0.011871
218	0.39412	0.015976
219	0.323598	0.009342
220	0.388125	0.01765
221	0.385902	0.012717
222	0.335432	0.013079
223	0.345952	0.010529
224	0.420658	0.011077
225	0.325139	0.014639
226	0.410831	0.019426
227	0.395021	0.015783
228	0.393133	0.011894
229	0.384654	0.015122
230	0.369882	0.011889
231	0.380961	0.013249
232	0.394628	0.014438
233	0.398748	0.016821
234	0.398294	0.018612
235	0.426371	0.015203
236	0.40179	0.015342
237	0.339435	0.010891
238	0.358318	0.011576
239	0.386625	0.018186
240	0.384601	0.013244
241	0.353615	0.01107
242	0.380972	0.011134
243	0.325705	0.012878
244	0.436383	0.01979
245	0.494778	0.01173
246	0.306527	0.011086
247	0.4279	0.014451
248	0.347471	0.014736
249	0.401101	0.018197
250	0.367942	0.011983
251	0.381562	0.014368
252	0.355161	0.012103
253	0.427469	0.017925
254	0.47906	0.014035
255	0.314244	0.009199
256	0.308376	0.012176
257	0.395983	0.011392
258	0.43976	0.014445
259	0.375059	0.013995
260	0.401016	0.010626
261	0.401635	0.015655
262	0.37642	0.011376
263	0.399919	0.015809
264	0.360738	0.014289
265	0.501871	0.010923
266	0.529139	0.020929
267	0.494412	0.013517
268	0.41541	0.016495
269	0.357192	0.011781
270	0.337438	0.01245
271	0.399214	0.01555
272	0.443939	0.013166
273	0.393885	0.012823
274	0.388432	0.021206
275	0.530184	0.017736
276	0.369887	0.015645
277	0.416196	0.019806
278	0.332416	0.017563
279	0.318911	0.015639
280	0.430846	0.015192
281	0.399669	0.020976
282	0.382158	0.013192
283	0.442116	0.021081
284	0.35755	0.013774
285	0.338777	0.015831
286	0.452839	0.014837
287	0.329062	0.011711
288	0.407372	0.015116
289	0.445452	0.018843
290	0.401509	0.018411
291	0.400346	0.019467
292	0.48175	0.017475
293	0.362006	0.01287
294	0.371542	0.019896
295	0.356587	0.01687
296	0.42993	0.019729
297	0.426404	0.016833
298	0.412715	0.013389
299	0.421592	0.010471
300	0.460044	0.019269
301	0.379763	0.012444
302	0.537641	0.015632
303	0.492366	0.020377
304	0.39462	0.017556
305	0.525889	0.020013
306	0.507479	0.016789
307	0.479301	0.017287
308	0.539776	0.022215
309	0.65849	0.024616
310	0.453087	0.017665
311	0.498117	0.012342
312	0.427379	0.016296
313	0.535807	0.021542
314	0.516634	0.019826
315	0.530181	0.022357
316	0.793146	0.032457
317	0.738176	0.023252
318	0.480907	0.014827
319	0.422114	0.020267
320	0.58163	0.023093
321	0.659728	0.017328
322	0.671873	0.018289
323	0.539531	0.020555
324	0.368436	0.02003
325	0.572739	0.019273
326	0.608544	0.017917
327	0.472267	0.025548
328	0.579278	0.018917
329	0.450321	0.020408
330	0.595495	0.026528
331	0.483276	0.018928
332	0.417802	0.014016
333	0.339693	0.020196
334	0.50029	0.014266
335	0.482713	0.023119
336	0.483531	0.018433
337	0.447993	0.010463
338	0.492068	0.018984
339	0.385482	0.012378
340	0.475365	0.015339
341	0.523154	0.014449
342	0.587335	0.0342
343	0.551663	0.019493
344	0.449879	0.021549
345	0.398166	0.024925
346	0.535605	0.023574
347	0.590138	0.015395
348	0.746586	0.025155
349	0.729099	0.024235
350	0.488238	0.016492
351	0.355548	0.012583
352	0.580101	0.014901
353	0.441595	0.020715
354	0.53788	0.014247
355	0.541567	0.017599
356	0.655081	0.019395
357	0.60659	0.017316
358	0.418552	0.016275
359	0.519985	0.027734
360	0.740462	0.022203
361	0.646959	0.024041
362	0.680476	0.017997
363	0.543647	0.017204
364	0.694159	0.023544
365	0.544042	0.015154
366	0.623699	0.01859
367	0.714406	0.02745
368	0.674457	0.022815
369	0.71221	0.020353
370	0.568451	0.023602
371	0.87067	0.01484
372	0.628125	0.024028
373	0.582276	0.01811
374	0.900225	0.023559
375	0.849439	0.024235
376	0.705094	0.016641
377	0.634661	0.02129
378	0.690113	0.023645
379	0.689047	0.016834
380	0.559135	0.029061
381	0.563484	0.019768
382	0.58949	0.018531
383	0.929762	0.019014
384	0.617625	0.023569
385	0.637235	0.024139
386	0.886948	0.015904
387	0.510663	0.015976
388	0.563909	0.014007
389	0.673577	0.017784
390	0.599305	0.027802
391	0.738541	0.025222
392	0.624288	0.021646
393	0.699931	0.014508
394	0.626524	0.015764
395	0.608221	0.016712
396	0.58863	0.020041
397	0.556315	0.027599
398	0.897379	0.035632
399	0.902594	0.02067
400	0.658152	0.01476
401	0.587795	0.022378
402	0.610185	0.019004
403	0.904859	0.019222
404	0.544591	0.014301
405	0.662115	0.02364
406	0.747388	0.01462
407	0.620449	0.018313
408	0.698605	0.017963
409	0.612984	0.019239
410	0.64747	0.02077
411	0.573333	0.019084
412	0.563022	0.016105
413	0.853658	0.030467
414	0.575313	0.017574
415	0.642684	0.019562
416	0.517524	0.012388
417	0.63474	0.014704
418	0.642231	0.016023
419	0.959445	0.024991
420	0.7862	0.022334
421	0.646929	0.019455
422	0.653667	0.014939
423	0.567166	0.014598
424	0.645651	0.021557
425	0.784252	0.018299
426	0.62351	0.022599
427	0.567111	0.019978
428	0.894425	0.021053
429	0.647749	0.016174
430	1.044988	0.018683
431	0.802615	0.020938
432	0.631421	0.02535
433	0.785146	0.023438
434	0.709157	0.021479
435	0.946604	0.026737
436	0.837865	0.023496
437	0.897209	0.021987
438	0.738752	0.015225
439	0.49405	0.013905
440	0.648774	0.017298
441	0.844378	0.020092
442	0.723481	0.027554
443	0.920383	0.019878
444	0.758318	0.031016
445	0.821602	0.027035
446	1.07508	0.015085
447	0.604456	0.015383
448	0.742791	0.035904
449	0.932921	0.033495
450	0.913675	0.02755
451	0.802671	0.019998
452	0.423667	0.027307
453	0.692828	0.029594
454	0.597612	0.019411
455	0.582383	0.024939
456	0.585501	0.025478
457	0.66396	0.022703
458	0.577279	0.016995
459	0.473038	0.026707
460	0.676531	0.018873
461	0.687426	0.040116
462	0.682104	0.031782
463	0.666648	0.019172
464	0.756291	0.020092
465	0.565555	0.017812
466	0.632946	0.018469
467	0.737493	0.022156
468	0.648691	0.014934
469	0.625396	0.023107
470	0.699606	0.013451
471	0.620858	0.025403
472	0.493008	0.015905
473	0.602223	0.016056
