obs_index,inference_time_sec,image_proc_time_sec
0,1.270271,1.457540
1,1.579047,0.081019
2,1.216870,0.072328
3,1.836989,0.070719
4,1.892486,0.080462
5,1.146239,0.112177
6,0.826042,0.057422
7,1.634712,0.127082
8,1.423547,0.108146
9,1.479548,0.691076
10,1.631620,0.058174
11,1.694527,0.090749
12,0.918665,0.054912
13,0.948134,0.065938
14,1.040308,0.038089
15,1.309304,0.073369
16,1.190000,0.070807
17,0.990887,0.084231
18,1.465060,0.066602
19,1.247157,0.045858
20,1.669388,0.073411
21,1.477576,0.092497
22,1.193940,0.065441
23,1.597278,0.063400
24,1.455399,0.120742
25,0.996643,0.059613
26,1.531755,0.043404
27,1.381306,0.041293
28,1.382581,0.067158
29,1.279391,0.072167
30,0.659189,0.051058
31,1.329794,0.033456
32,1.049284,0.040166
33,1.187399,0.055921
34,1.114035,0.065668
35,0.804475,0.041650
36,1.017682,0.049094
37,1.704284,0.046924
38,1.970555,0.070467
39,1.110716,0.060391
40,1.360257,0.089142
41,1.815075,0.078151
42,1.761826,0.154327
43,2.032679,0.071103
44,1.074314,0.056384
45,1.038512,0.079461
46,1.384073,0.047931
47,1.017166,0.068380
48,1.482830,0.035226
49,0.893563,0.064381
50,0.988782,0.047879
51,0.697127,0.041049
52,1.095818,0.063780
53,0.950425,0.063994
54,1.075594,0.065162
55,0.715581,0.037061
56,0.783603,0.032325
57,0.855152,0.055820
58,0.785444,0.039972
59,1.080269,0.056806
60,1.030461,0.064893
61,1.279864,0.063218
62,1.303927,0.076860
63,1.189402,0.077573
64,1.648761,0.075798
65,1.289613,0.077407
66,0.910059,0.046236
67,0.638945,0.042132
68,0.806423,0.045611
69,0.757266,0.029262
70,0.969688,0.046189
71,0.699850,0.039842
72,0.661856,0.041410
73,0.785344,0.027273
74,0.847963,0.040905
75,0.626662,0.043385
76,0.744881,0.040293
77,0.560460,0.035889
78,0.545467,0.033020
79,0.637943,0.050651
80,0.646490,0.038656
81,0.671678,0.039878
82,0.723990,0.058022
83,0.694328,0.043577
84,0.881654,0.028762
85,0.931823,0.042483
86,1.290253,0.062660
87,1.677272,0.072303
88,1.723481,0.073605
89,1.220774,0.046280
90,1.390521,0.059258
91,1.216659,0.044434
92,1.383638,0.070280
93,1.292614,0.079978
94,1.410312,0.070487
95,1.745032,0.044654
96,1.555681,0.070567
97,1.442832,0.056972
98,1.042434,0.066137
99,1.226950,0.056438
100,0.666457,0.033486
101,0.650421,0.036149
102,0.783529,0.058467
103,0.530660,0.036849
104,0.591183,0.031242
105,0.605178,0.027237
106,0.570659,0.034813
107,0.459937,0.043020
108,0.472706,0.024412
109,0.439547,0.025588
110,0.514568,0.037340
111,0.481683,0.051460
112,0.469597,0.033344
113,0.530868,0.025711
114,0.419157,0.026813
115,0.463332,0.033539
116,0.477490,0.028549
117,0.500532,0.027239
118,0.450085,0.028328
119,0.473466,0.038301
120,0.409688,0.023158
121,0.556959,0.045284
122,0.572181,0.034556
123,0.407340,0.027310
124,0.525239,0.032788
125,0.475176,0.029724
126,0.484598,0.027614
127,0.548780,0.029953
128,0.565459,0.034178
129,0.438955,0.025599
130,0.523748,0.033988
131,0.714669,0.028430
132,0.691926,0.044001
133,0.518824,0.028378
134,0.627282,0.050914
135,0.541741,0.033256
136,0.521917,0.030449
137,0.577049,0.056016
138,0.565643,0.032104
139,0.580122,0.028410
140,0.621794,0.028113
141,0.506689,0.044145
142,0.538298,0.036329
143,0.553070,0.055069
144,0.747868,0.066818
145,0.780379,0.043134
146,0.449052,0.033362
147,0.692818,0.036388
148,0.602228,0.025523
149,0.519554,0.030145
150,0.610072,0.049170
151,0.585954,0.030639
152,0.568037,0.046374
153,0.565973,0.043677
154,0.510091,0.024989
155,0.477255,0.029087
156,0.602258,0.028628
157,0.478380,0.029971
158,0.491508,0.038555
159,0.751817,0.047593
160,0.756867,0.034459
161,1.082825,0.042190
162,0.593763,0.041068
163,0.607937,0.036808
164,0.666369,0.063381
165,0.644040,0.042568
166,0.551049,0.031902
167,0.583132,0.034389
168,0.578127,0.026779
169,0.517445,0.041776
170,0.588840,0.026795
171,0.558264,0.033792
172,0.539078,0.024603
173,0.605713,0.053530
174,0.615638,0.029571
175,0.541184,0.031901
176,0.630909,0.033303
177,0.512273,0.028813
178,0.465437,0.032073
179,0.479022,0.040789
180,0.574186,0.029252
181,0.495571,0.028427
182,0.580536,0.045405
183,0.542706,0.027496
184,0.460942,0.028691
185,0.567211,0.033650
186,0.476092,0.053575
187,0.509667,0.029840
188,0.642755,0.025502
189,0.456308,0.029702
190,0.513210,0.047870
191,0.482402,0.032239
192,0.378710,0.024186
193,0.537744,0.038151
194,0.461773,0.028345
195,0.425606,0.032236
196,0.515596,0.041542
197,0.507805,0.031823
198,0.400046,0.023297
199,0.499530,0.045154
200,0.380459,0.020608
201,0.538868,0.036354
202,0.612468,0.028425
203,0.674243,0.043040
204,0.564508,0.039730
205,0.470048,0.037616
206,0.438648,0.049452
207,0.455797,0.024756
