epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68454,1.66483,3.52504,1.5731,0.00333,1,0.51986,0.27214,1.36523,3.04223,1.30679,0.00022,0.00022,0.00022
2,8.29504,1.65141,2.4578,1.38727,0.00333,1,0.98591,0.48948,1.43144,2.77291,1.16593,0.000455446,0.000455446,0.000455446
3,11.8726,1.59321,2.01498,1.39013,0.00333,1,0.83068,0.43891,1.46686,2.95811,1.30327,0.00068614,0.00068614,0.00068614
4,15.4388,1.58054,1.81523,1.3328,0.003,0.9,0.50096,0.25286,1.87775,3.12577,1.94711,0.000912082,0.000912082,0.000912082
5,18.9788,1.56814,1.80204,1.31922,1,0.49404,0.74669,0.38007,1.70973,2.89034,1.48939,0.00113327,0.00113327,0.00113327
6,22.5193,1.54541,1.69636,1.33153,1,0.78929,0.98591,0.56483,1.71131,2.40421,1.37782,0.00134971,0.00134971,0.00134971
7,26.0528,1.61388,1.65822,1.38563,0.00333,1,0.00951,0.00268,3.07973,5.29495,2.95686,0.0015614,0.0015614,0.0015614
8,29.5241,1.53858,1.65314,1.35492,0.00333,1,0.01353,0.00636,2.14459,4.43486,1.86302,0.00176833,0.00176833,0.00176833
9,32.9974,1.53395,1.48338,1.32004,1,0.76656,0.89632,0.37811,1.61395,2.26271,1.3401,0.0018416,0.0018416,0.0018416
10,36.4882,1.6103,1.476,1.36827,0.66201,0.7,0.65284,0.39659,1.61323,2.21681,1.45388,0.0018218,0.0018218,0.0018218
11,39.9775,1.64001,1.48017,1.41625,0.63364,0.4,0.40676,0.25995,1.58166,2.79128,1.41861,0.001802,0.001802,0.001802
12,43.4447,1.61002,1.3218,1.3942,0.66451,0.4,0.55988,0.33451,1.59163,1.90152,1.36883,0.0017822,0.0017822,0.0017822
13,46.919,1.53831,1.31965,1.35807,1,0.79826,0.86731,0.4426,1.59585,1.68041,1.49006,0.0017624,0.0017624,0.0017624
14,50.3922,1.53692,1.18029,1.31975,0.13387,0.4,0.13122,0.03739,1.95131,3.16412,1.73576,0.0017426,0.0017426,0.0017426
15,53.8825,1.52588,1.19364,1.38461,1,0.78311,0.82347,0.48055,1.51989,3.31291,1.46479,0.0017228,0.0017228,0.0017228
16,57.364,1.55485,1.18275,1.3745,1,0.88122,0.91461,0.49415,1.5549,1.51859,1.44826,0.001703,0.001703,0.001703
17,60.8562,1.54769,1.13608,1.3636,0.99003,1,0.995,0.52376,1.64254,1.18978,1.36631,0.0016832,0.0016832,0.0016832
18,64.3466,1.5866,1.10199,1.35882,0.98877,1,0.995,0.47972,1.53623,1.18859,1.347,0.0016634,0.0016634,0.0016634
19,67.8219,1.5975,1.09677,1.37762,0.97334,1,0.995,0.50491,1.68399,1.15868,1.4165,0.0016436,0.0016436,0.0016436
20,71.2998,1.55392,1.05427,1.35318,0.99075,1,0.995,0.52099,1.65212,1.10554,1.3683,0.0016238,0.0016238,0.0016238
21,74.7691,1.53011,1.04893,1.29533,0.98157,1,0.995,0.53057,1.53538,1.15607,1.38407,0.001604,0.001604,0.001604
22,78.2403,1.50822,0.99821,1.33745,0.98205,1,0.995,0.4639,1.95648,1.04624,1.72896,0.0015842,0.0015842,0.0015842
23,81.716,1.56654,1.01534,1.37759,0.98451,1,0.995,0.53384,1.66697,0.79796,1.45898,0.0015644,0.0015644,0.0015644
24,85.1826,1.58354,0.96299,1.40816,0.99099,0.9,0.98591,0.52447,1.61119,0.91324,1.42699,0.0015446,0.0015446,0.0015446
25,88.6574,1.46229,0.90559,1.28516,0.99658,1,0.995,0.54018,1.54009,0.89064,1.43631,0.0015248,0.0015248,0.0015248
26,92.1383,1.47748,0.94366,1.31996,0.99461,1,0.995,0.52653,1.51891,0.84565,1.32685,0.001505,0.001505,0.001505
