epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73338,1.66483,3.52504,1.5731,0.00333,1,0.51986,0.27214,1.36523,3.04223,1.30679,0.00022,0.00022,0.00022
2,7.39804,1.65036,2.44408,1.38333,0.00333,1,0.98591,0.48589,1.43866,2.76779,1.16954,0.000458862,0.000458862,0.000458862
3,11.0331,1.62637,2.03154,1.37859,0.00333,1,0.98591,0.52155,1.37016,2.74855,1.20495,0.000696535,0.000696535,0.000696535
4,14.8894,1.59935,1.88211,1.34461,1,0.75399,0.96643,0.48837,1.71803,2.55541,1.37213,0.000933021,0.000933021,0.000933021
5,18.5478,1.60179,1.83559,1.31242,0.90116,0.8,0.90087,0.46125,1.617,2.44417,1.26983,0.00116832,0.00116832,0.00116832
6,22.1251,1.5524,1.68615,1.30318,0.89194,0.8275,0.95192,0.47661,1.58434,2.4501,1.28043,0.00140243,0.00140243,0.00140243
7,25.7007,1.57216,1.66609,1.3441,0.17649,0.2,0.1701,0.08783,1.92199,3.29833,1.50899,0.00163535,0.00163535,0.00163535
8,29.2117,1.63001,1.73466,1.37636,0.00333,1,0.06568,0.01824,2.37471,3.69232,1.67886,0.00186708,0.00186708,0.00186708
9,32.7624,1.57748,1.53461,1.33542,0.70699,0.24839,0.63962,0.15742,1.96009,3.02733,1.71193,0.0019604,0.0019604,0.0019604
10,36.2857,1.63092,1.49372,1.35776,0.00333,1,0.6165,0.21479,1.95989,2.86958,1.73606,0.00195545,0.00195545,0.00195545
11,39.9218,1.66652,1.45688,1.36496,0.00333,1,0.00761,0.00197,2.26753,3.66511,2.30206,0.0019505,0.0019505,0.0019505
12,43.764,1.53118,1.28874,1.32865,0.00333,1,0.00551,0.00247,1.9847,3.57902,1.90432,0.00194555,0.00194555,0.00194555
13,47.3622,1.63319,1.32772,1.36906,0.19495,0.6,0.21517,0.10562,1.73675,2.11314,1.46052,0.0019406,0.0019406,0.0019406
14,50.8636,1.63842,1.22296,1.36309,0.27518,0.7,0.30099,0.17411,1.55179,1.9679,1.31298,0.00193565,0.00193565,0.00193565
15,54.4173,1.55684,1.20256,1.38218,0.98417,0.7,0.77511,0.44208,1.58898,1.44549,1.33279,0.0019307,0.0019307,0.0019307
16,57.9299,1.55609,1.15723,1.34637,0.96245,0.9,0.90816,0.49132,1.62632,1.46034,1.34223,0.00192575,0.00192575,0.00192575
17,61.5108,1.57701,1.10991,1.33898,0.79974,0.79882,0.8609,0.51084,1.49293,1.31207,1.28754,0.0019208,0.0019208,0.0019208
18,65.2722,1.60151,1.13741,1.34503,0.64165,0.6,0.60581,0.3553,1.61108,1.76267,1.36097,0.00191585,0.00191585,0.00191585
19,68.8042,1.64491,1.08252,1.40903,0.89401,1,0.995,0.54717,1.63947,1.17625,1.33689,0.0019109,0.0019109,0.0019109
20,72.4466,1.58268,1.04442,1.35476,0.98642,1,0.995,0.47397,1.64139,1.08653,1.2707,0.00190595,0.00190595,0.00190595
21,75.9912,1.57314,1.0495,1.31993,0.896,1,0.97682,0.50261,1.69378,0.97528,1.24405,0.001901,0.001901,0.001901
22,79.5144,1.52008,0.9814,1.30783,1,0.97552,0.995,0.40441,2.00675,1.43193,1.39994,0.00189605,0.00189605,0.00189605
23,83.0847,1.52035,1.03897,1.31386,0.98691,0.9,0.93667,0.41107,1.82201,1.25658,1.27659,0.0018911,0.0018911,0.0018911
24,86.5761,1.62313,0.96575,1.38479,0.00287,0.8,0.01664,0.00319,2.86655,3.49827,2.33532,0.00188615,0.00188615,0.00188615
25,90.2846,1.47854,0.9051,1.2808,0.30588,0.3547,0.42635,0.16628,1.94915,2.38611,1.68582,0.0018812,0.0018812,0.0018812
26,93.7798,1.54626,0.94096,1.32446,0.77299,0.6,0.69449,0.33471,1.77732,1.49361,1.42568,0.00187625,0.00187625,0.00187625
27,97.3114,1.55651,0.93817,1.30365,0.51956,0.2,0.29651,0.06834,1.95956,2.6654,1.67137,0.0018713,0.0018713,0.0018713
28,100.823,1.5982,0.92995,1.33057,0.99028,1,0.995,0.50744,1.62778,0.79044,1.31179,0.00186635,0.00186635,0.00186635
29,104.366,1.57407,0.89242,1.36396,0.99177,1,0.995,0.51621,1.60384,0.78197,1.29746,0.0018614,0.0018614,0.0018614
30,107.883,1.51088,0.86585,1.33112,0.8946,1,0.98591,0.52136,1.58595,0.9149,1.3211,0.00185645,0.00185645,0.00185645
31,111.397,1.54059,0.82708,1.3123,0.98756,1,0.995,0.557,1.65653,0.78721,1.30823,0.0018515,0.0018515,0.0018515
32,114.899,1.53296,0.79706,1.31793,1,0.96111,0.995,0.5364,1.6195,0.86343,1.31764,0.00184655,0.00184655,0.00184655
33,118.628,1.43188,0.77719,1.26787,0.99032,1,0.995,0.52186,1.72597,0.83976,1.44,0.0018416,0.0018416,0.0018416
34,122.126,1.5022,0.85122,1.2851,0.98857,1,0.995,0.48748,1.79984,0.83227,1.39583,0.00183665,0.00183665,0.00183665
35,125.623,1.44892,0.7591,1.25977,1,0.99807,0.995,0.48218,1.85459,0.80268,1.38767,0.0018317,0.0018317,0.0018317
36,129.117,1.45643,0.79558,1.30322,0.9382,0.9,0.96167,0.47374,1.83984,0.9129,1.44056,0.00182675,0.00182675,0.00182675
37,132.653,1.47983,0.82683,1.32994,0.96118,1,0.995,0.4931,1.7682,0.69928,1.37526,0.0018218,0.0018218,0.0018218
38,136.168,1.396,0.76403,1.26409,0.99157,1,0.995,0.50195,1.86638,0.72819,1.42527,0.00181685,0.00181685,0.00181685
39,139.924,1.46199,0.80573,1.29516,0.98987,1,0.995,0.55395,1.82698,0.74069,1.47161,0.0018119,0.0018119,0.0018119
40,143.429,1.44334,0.792,1.27686,0.99084,1,0.995,0.57887,1.64234,0.73984,1.33863,0.00180695,0.00180695,0.00180695
41,146.956,1.46451,0.72176,1.29954,0.99122,1,0.995,0.51906,1.65189,0.68996,1.39502,0.001802,0.001802,0.001802
42,150.486,1.45292,0.75059,1.27743,0.98952,1,0.995,0.5159,1.70156,0.68323,1.40936,0.00179705,0.00179705,0.00179705
43,154.049,1.49499,0.76597,1.31663,0.99201,1,0.995,0.55224,1.77588,0.71037,1.40495,0.0017921,0.0017921,0.0017921
44,157.522,1.43354,0.74166,1.28362,0.99365,1,0.995,0.56183,1.72913,0.63721,1.32724,0.00178715,0.00178715,0.00178715
45,161.015,1.34543,0.70738,1.24203,0.99369,1,0.995,0.50975,1.64361,0.6855,1.27916,0.0017822,0.0017822,0.0017822
46,164.493,1.48934,0.77944,1.31719,0.98356,1,0.995,0.59156,1.63222,0.7304,1.34079,0.00177725,0.00177725,0.00177725
